Order,Genus,species,Specimen number (YPM),sex,mass (g),femur_circumference (mm),femur_diamter (mm),femur_length (mm),humerus_diameter (mm),humerus_length (mm),tarsus_circumference (mm),tarsus_diameter (mm),tarsus_length (mm),tibia_length (mm),humerus_circumference (mm),coracoid HAF (mm),coracoid shaft width,coracoid max length
Passeriformes,Icteria,virens,108744,m,24.40,4.35,1.48,21.2,1.63,20.45,4.26,1.1,28.05,38.91,4.78,1.62,1.01,18.9
Passeriformes,Icteria,virens,104535,m,24.40,4.78,1.53,20.88,1.61,19.43,3.9,1.1,26.13,34.67,4.84,1.57,0.88,17.36
Passeriformes,Icteria,virens,110258,m,24.40,4.89,1.65,28.66,1.82,19.45,4.85,1.25,25.28,35.5,5.22,1.58,1.01,17.97
Passeriformes,Icteria,virens,110261,m,24.40,4.45,1.35,20.98,1.7,19.22,4.13,1.08,25.9,35.43,4.93,1.55,1.03,17.38
Passeriformes,Icteria,virens,109975,f,25.40,4.23,1.45,19.32,1.59,18.75,4.15,1.11,25.98,34.54,4.7,1.59,0.99,17.33
Passeriformes,Icteria,virens,108743,f,25.40,4.7,1.53,19.57,1.74,19.06,3.96,1.06,24.88,34.44,5.07,1.58,1.08,16.98
Passeriformes,Icterus,bullockii,103853,m,37.90,4.74,1.58,19.31,2.01,20.48,5.07,1.47,21.11,32.15,5.76,1.83,1.23,19.37
Passeriformes,Icterus,galbula,108325,f,31.80,4.6,1.52,20.55,1.79,20.9,4.71,1.23,22.46,34.06,5.43,1.77,1.19,19.72
Passeriformes,Icterus,galbula,108326,f,31.80,4.54,1.4,19.71,1.92,20.69,4.96,1.36,22.78,32.99,5.51,1.74,1.21,19.56
Passeriformes,Icterus,galbula,108327,f,31.80,4.48,1.47,20.04,2.02,20.91,5.18,1.36,22.85,33.92,5.76,1.79,1.21,19.39
Passeriformes,Icterus,galbula,108498,f,31.80,4.78,1.57,20.87,1.99,21.99,5.06,1.46,24.17,35.09,5.81,1.84,1.11,20.4
Passeriformes,Icterus,galbula,104626,m,33.90,4.92,1.52,20.74,2.04,21.52,4.05,1.2,23.08,34.71,5.86,1.84,1.05,20.9
Passeriformes,Icterus,galbula,110632,m,33.90,4.73,1.55,19.89,2.02,21.16,4.6,1.45,22.5,32.28,5.98,1.86,1.2,19.6
Passeriformes,Icterus,galbula,102444,m,33.90,5.01,1.68,20.91,2.07,21.65,3.88,1.29,22.05,32.66,5.91,1.89,1.22,19.3
Passeriformes,Icterus,graduacauda,107758,m,42.20,5.83,1.96,23.91,2.21,24.11,6.13,1.62,26.47,38.73,6.49,2.1,1.34,22.78
Passeriformes,Icterus,gularis,110439,m,59.10,6.49,2.08,26.54,2.67,28.12,7.1,2.33,29.76,41.01,7.79,2.33,1.56,25.35
Passeriformes,Icterus,icterus,102633,m,77.40,7.01,2.29,29.61,2.37,29.96,6.63,2.04,31.03,46.8,6.97,2.62,1.56,25.55
Passeriformes,Icterus,spurius,102818,m,19.90,4.01,1.21,18.12,1.64,18.6,3.52,1.02,21.83,30.34,4.81,1.47,1.09,18.54
Passeriformes,Icterus,spurius,107050,m,19.90,4.35,1.39,17.67,1.72,18.24,4.82,1.23,20.72,29.97,5.03,1.51,0.94,17.14
Passeriformes,Icterus,spurius,107759,m,19.90,4.16,1.34,17.56,1.67,18.2,3.69,1.01,19.62,28.35,4.87,1.52,0.93,16.83
Passeriformes,Icterus,spurius,111109,m,19.90,4.12,1.29,17.86,1.7,18.6,3.86,1.14,21.13,30.21,4.85,1.53,0.95,17.72
Passeriformes,Junco,hyemalis,108913,f,17.90,3.49,1.06,16.66,1.56,16.89,3.11,0.8,21.75,27.72,4.48,1.47,0.89,16.08
Passeriformes,Junco,hyemalis,108921,f,17.90,4.34,1.41,19.04,2,19.93,3.49,0.99,20.9,31.85,5.76,1.41,1.2,19.89
Passeriformes,Junco,hyemalis,108910,f,17.90,3.83,1.16,17.01,1.69,18.77,2.48,0.81,20.7,29.36,4.93,1.44,0.93,17.32
Passeriformes,Junco,hyemalis,108924,m,19.30,3.58,1.15,16.54,1.65,17.9,2.78,0.87,20.8,28.47,4.7,1.45,0.95,15.89
Passeriformes,Junco,hyemalis,108925,m,19.30,3.49,1.14,17.19,1.58,19.02,2.92,0.96,20.9,29.37,4.56,1.46,0.93,17.63
Passeriformes,Junco,hyemalis,108920,m,19.30,3.55,1.12,16.5,1.45,17.23,2.39,0.77,20.05,26.5,4.13,1.49,0.94,16.02
Passeriformes,Junco,hyemalis,108917,m,19.30,3.46,1.09,16.78,1.44,18.11,2.67,0.72,21.03,28.73,4.16,1.53,0.92,16.8
Passeriformes,Junco,hyemalis,108918,m,19.30,3.36,1.13,16.68,1.66,17.82,2.98,0.91,21.15,28.16,4.46,1.47,0.88,16.83
Passeriformes,Melospiza,lincolnii,108995,m,16.60,3.97,1.39,16.77,1.28,16.75,3.35,1.15,19.93,27.63,3.91,1.37,0.86,15.66
Passeriformes,Melospiza,lincolnii,108997,m,16.60,3.72,1.2,17.28,1.15,16.55,3.16,0.99,21.19,29.63,3.85,1.36,0.75,15.41
Passeriformes,Melospiza,lincolnii,108998,m,16.60,3.75,1.19,18.13,1.36,16.49,3.3,0.97,21.14,28.15,4.02,1.45,0.87,15.51
Passeriformes,Melospiza,lincolnii,110327,m,16.60,4.07,1.31,17.72,1.39,16.47,3.03,0.93,20.44,28.22,4.26,1.4,0.76,15.87
Passeriformes,Melospiza,lincolnii,110331,m,16.60,3.91,1.27,18.42,1.38,16.9,3.64,1.05,21.11,30.36,4.16,1.36,0.82,16.14
Passeriformes,Melospiza,lincolnii,110259,f,16.60,3.69,1.12,17.05,1.31,15.2,2.95,0.95,19.85,26.75,3.82,1.41,0.78,14.67
Passeriformes,Melospiza,lincolnii,110332,f,16.60,3.69,1.13,17.31,1.37,15.83,3.24,1.14,19.5,28.27,3.97,1.42,0.94,15.84
Passeriformes,Melospiza,lincolnii,108992,f,16.60,3.93,1.34,16.8,1.32,15.66,2.87,0.89,20.53,26.79,3.88,1.43,0.72,14.78
Passeriformes,Melospiza,lincolnii,110262,f,16.60,3.5,1.13,17.02,1.12,15.32,2.98,0.98,19.59,26.32,3.8,1.39,0.77,14.1
Passeriformes,Melospiza,melodia,103515,f,19.50,4.04,1.35,18.86,1.55,16.95,3.68,1.08,21.46,30.22,4.52,1.46,0.94,16.31
Passeriformes,Melospiza,melodia,109023,f,19.50,3.83,1.2,18.4,1.19,17.45,3.38,1.01,21.15,28.53,4.05,1.53,0.83,15.66
Passeriformes,Melospiza,melodia,109012,f,19.50,4.01,1.28,18.36,1.44,16.54,3.36,0.98,21.66,28.2,4.21,1.49,0.91,15.97
Passeriformes,Melospiza,melodia,109002,f,19.50,4.3,1.46,17.85,1.33,17.77,4.13,1.23,21.72,30.24,4.41,1.46,0.86,16.68
Passeriformes,Melospiza,melodia,109015,f,19.50,4.23,1.3,17.84,1.44,16.97,3.33,0.93,22.72,28.52,4.27,1.54,0.95,16.01
Passeriformes,Melospiza,melodia,105835,m,20.50,4.35,1.39,18.85,1.48,17.86,4.19,1.28,22.26,30.62,4.4,1.58,0.92,16.96
Passeriformes,Melospiza,melodia,105836,m,20.50,4.4,1.44,18.74,1.71,18.32,3.91,1.28,21.42,29.71,5.03,1.55,0.88,16.74
Passeriformes,Melospiza,melodia,109000,m,20.50,4.12,1.34,18.68,1.51,17.84,3.52,1.07,22.93,31.75,4.41,1.49,0.86,16.85
Passeriformes,Melospiza,melodia,108999,m,20.50,4.07,1.34,18.19,1.45,17.91,3.2,1.03,21.72,31.03,4.32,1.54,0.92,16.79
Passeriformes,Melospiza,melodia,107789,m,20.50,3.97,1.33,18.43,1.5,15.88,3.46,1.01,21.83,30.2,4.34,1.56,0.82,16.84
Passeriformes,Microligea,palustris,105241,f,13.20,3.13,0.98,15.5,1.33,14.86,3.27,0.96,20.26,27.93,3.79,1.12,0.7,12.98
Passeriformes,Microligea,palustris,109680,f,13.20,3.52,1.2,14.94,1.35,15.47,3.27,0.85,20.28,26.64,3.79,1.15,0.71,14.33
Passeriformes,Microligea,palustris,109681,m,13.20,3.39,1.13,15.2,1.34,15.69,3.08,0.84,22.54,28.78,4.01,1.18,0.7,14.34
Passeriformes,Microligea,palustris,109679,m,13.20,3.44,1.12,15.2,1.49,15.81,3.35,0.95,21.74,27.57,4.12,1.14,0.79,14.77
Passeriformes,Microligea,palustris,105197,m,13.20,3.28,1.1,15.67,1.25,15.22,3.36,0.97,23.2,28.45,3.61,1.14,0.76,14.43
Passeriformes,Molothrus,aeneus,105915,f,56.90,5.5,1.79,23.66,2.21,25.56,5.8,1.56,26.22,37.47,6.39,2.37,1.35,24.57
Passeriformes,Molothrus,aeneus,107760,f,56.90,5.53,1.78,23.32,2.26,25.91,6.21,1.7,27.51,38.15,6.61,2.28,1.48,24.33
Passeriformes,Molothrus,aeneus,107762,f,56.90,5.89,1.88,24.16,2.35,26.22,5.75,1.62,27.65,39.17,7.07,2.33,1.47,24.91
Passeriformes,Molothrus,aeneus,107763,f,56.90,5.64,1.77,23.2,2.26,25.23,5.94,1.67,27.29,38.49,6.69,2.32,1.54,24.37
Passeriformes,Molothrus,aeneus,107764,f,56.90,5.12,1.75,23.07,2.1,24.37,5.15,1.51,24.82,36.03,6.13,2.31,1.43,22.3
Passeriformes,Molothrus,ater,108499,f,38.10,4.87,1.48,19.24,2.1,22.27,4.23,1.43,22.88,32.83,6,1.98,1.17,21.29
Passeriformes,Molothrus,ater,108500,f,38.10,5.07,1.69,20.67,2.25,22.54,4.82,1.27,24.09,34.1,6.44,1.92,1.14,22.03
Passeriformes,Molothrus,ater,108330,m,48.70,4.98,1.64,21.54,2.22,23.51,4.84,1.42,25.21,35.68,6.61,2.19,1.34,22.56
Passeriformes,Molothrus,ater,108502,m,48.70,5.18,1.64,21.63,2.21,23.53,4.54,1.25,24.56,35.44,6.44,2.12,1.21,22.81
Passeriformes,Molothrus,ater,109519,m,48.70,5.07,1.63,20.86,2.22,24.03,4.92,1.46,26.2,36.85,6.39,2.13,1.34,23.34
Passeriformes,Molothrus,ater,112187,m,48.70,5.48,1.78,21.62,2.22,24.65,5.81,1.42,26.54,36.21,6.64,2.21,1.31,23.29
Passeriformes,Oporornis,agilis,110264,f,13.30,3.35,1.06,16.39,1.24,15.19,2.83,0.7,19.83,27.8,3.77,1.24,0.68,13.99
Passeriformes,Oporornis,agilis,109411,f,13.30,3.5,1.15,16.63,1.33,16.19,2.98,1,21.36,28.97,4.02,1.26,0.79,15.33
Passeriformes,Oporornis,formosus,108693,m,14.00,3.24,1.01,15.11,1.34,15.52,2.62,0.87,21.03,28.46,3.93,1.22,0.64,15.53
Passeriformes,Oporornis,philadelphia,109499,f,11.50,3.22,1.09,15.37,1.03,13.67,2.7,0.84,18.88,26.8,3.49,1.18,0.75,13.95
Passeriformes,Oporornis,philadelphia,109412,f,11.50,3.33,1.09,15.56,1.23,14.64,2.48,0.75,20.91,27.63,3.72,1.26,0.83,14.15
Passeriformes,Oporornis,philadelphia,108694,m,12.00,3.19,1.06,16.11,1.08,14.56,2.65,0.79,22.72,29.18,3.69,1.24,0.71,14.61
Passeriformes,Oporornis,tolmiei,112122,m,10.40,2.47,0.8,14.87,1.27,14.12,2.39,0.72,21.26,27.12,3.9,1.16,0.67,13.52
Passeriformes,Oporornis,tolmiei,109413,f,10.40,3.13,1.03,14.5,1.09,13.24,2.28,0.74,20.31,27.06,3.22,1.2,0.57,12.29
Passeriformes,Parula,americana,103848,m,8.60,2.72,0.86,12.05,1.2,12.61,2.03,0.62,17.63,23.15,3.79,1.02,0.66,13.02
Passeriformes,Parula,americana,108781,m,8.60,3.05,0.98,11.46,1.17,12.91,2.25,0.68,16.57,21.45,3.9,1.03,0.74,12.13
Passeriformes,Parula,americana,108782,m,8.60,3.55,1.12,12.52,1.16,13.13,2.22,0.67,16.84,22.49,3.41,1.01,0.67,12.56
Passeriformes,Parula,americana,108784,m,8.60,3.02,0.97,11.8,1.19,12.59,2.59,0.69,18.48,23.07,3.42,1.04,0.72,12.3
Passeriformes,Parula,americana,110333,m,8.60,2.86,0.87,12.63,1.07,13.48,2.8,0.83,16.67,22.52,3.61,1.04,0.71,12.36
Passeriformes,Parula,americana,108783,f,8.60,2.59,0.88,12.1,0.91,11.98,2.03,0.61,16.5,22.63,3.16,1.04,0.75,11.81
Passeriformes,Parula,americana,109414,f,8.60,3.13,0.84,11.71,1.08,13.35,2.7,0.65,17.6,23.16,3.6,1.02,0.58,12.1
Passeriformes,Parula,americana,108780,f,8.60,2.64,0.85,11,1,12.22,2.31,0.77,16.69,22.09,3.39,1.02,0.77,12.1
Passeriformes,Parula,americana,102393,f,8.60,3,0.98,12.98,1.23,12.99,2.8,0.76,15.38,23.11,3.72,1.03,0.78,11.46
Passeriformes,Parula,americana,103344,f,8.60,2.75,0.83,11.82,1.03,12.22,2.53,0.75,16.17,21.7,3.47,1.01,0.82,12.53
Passeriformes,Parula,pitiayumi,104219,m,7.20,2.95,0.99,12.33,1,12.74,2.4,0.85,15.73,21.23,3.41,0.97,0.83,11.42
Passeriformes,Passerculus,sandwichensis,103567,f,19.50,3.79,1.28,16.02,1.43,17.4,3.88,1.05,19.86,27.27,4.73,1.46,0.88,16.39
Passeriformes,Passerculus,sandwichensis,108896,f,19.50,3.93,1.33,15.5,1.43,16.87,2.97,0.87,17.97,26.49,4.38,1.53,0.81,15.52
Passeriformes,Passerculus,sandwichensis,108897,f,19.50,3.75,1.2,16.68,1.47,17.53,3.44,0.96,21.56,27.81,4.45,1.44,0.85,16.23
Passeriformes,Passerculus,sandwichensis,108893,f,19.50,3.38,1.1,16.29,1.49,17.49,3.2,0.87,19.44,26.77,4.35,1.5,0.94,16.08
Passeriformes,Passerculus,sandwichensis,110322,f,19.50,3.75,1.14,16.53,1.42,17.27,3.28,0.99,19.71,27.69,4.3,1.49,0.81,15.53
Passeriformes,Passerculus,sandwichensis,104592,m,20.60,3.66,1.18,16.51,1.59,18.11,3.49,0.96,20.96,26.32,4.7,1.53,1,17.2
Passeriformes,Passerculus,sandwichensis,105324,m,20.60,3.63,1.22,16.64,1.48,17.4,3.13,0.98,20.1,26.77,4.3,1.54,0.82,16.34
Passeriformes,Passerculus,sandwichensis,104427,m,20.60,4.01,1.24,16.76,1.69,18.6,3.31,1.02,19.79,27.87,5.01,1.49,0.96,17.38
Passeriformes,Passerculus,sandwichensis,108892,m,20.60,3.77,1.21,17.02,1.62,17.56,3.36,1.16,21.45,28.31,4.73,1.53,0.92,17.13
Passeriformes,Passerculus,sandwichensis,103561,m,20.60,3.69,1.14,16.85,1.9,18.17,3.46,0.98,21.87,28.5,5.18,1.51,1.06,16.62
Passeriformes,Phaenicophilus,palmarum,105204,m,30.50,4.95,1.62,20.15,2.02,21.24,4.76,1.26,24.17,34.61,5.89,1.74,1.16,19.67
Passeriformes,Phaenicophilus,palmarum,109687,m,30.50,4.56,1.6,19.51,1.91,21.08,4.05,1.21,23.48,31.2,5.32,1.74,1.15,18.94
Passeriformes,Phaenicophilus,palmarum,109688,m,30.50,4.62,1.54,19.71,2.04,20.58,4.4,1.29,22.63,30.25,5.76,1.71,1.07,18.47
Passeriformes,Phaenicophilus,palmarum,109689,f,30.50,4.37,1.33,19.79,1.85,20.45,3.6,1.07,23.62,32.58,5.42,1.71,0.97,18.41
Passeriformes,Phaenicophilus,palmarum,109685,f,30.50,4.85,1.62,19.12,2.02,20.41,4.67,1.41,22.74,29.66,5.7,1.72,0.88,17.92
Passeriformes,Phaenicophilus,palmarum,109686,f,30.50,4.56,1.48,19.75,1.83,20.6,4.51,1.15,24.17,30.64,5.29,1.74,1.11,18.91
Passeriformes,Phaenicophilus,palmarum,109684,f,30.50,4.57,1.4,19.99,1.92,21.01,3.66,1.07,23.38,30.83,5.51,1.75,1.04,19.19
Passeriformes,Pooecetes,gramineus,109352,f,24.90,3.88,1.22,18.8,1.61,20.44,3.35,1.07,20.73,28.73,4.59,1.66,1.12,18.44
Passeriformes,Pooecetes,gramineus,112165,f,24.90,3.85,1.29,17.95,1.65,20.12,3.16,1,20.5,27.98,4.87,1.63,0.96,17.73
Passeriformes,Pooecetes,gramineus,109989,f,24.90,3.74,1.21,17.58,1.55,19.56,2.95,0.88,21.27,28.25,4.6,1.66,0.9,17.67
Passeriformes,Pooecetes,gramineus,109990,f,24.90,4.29,1.38,17.58,1.75,20.18,3.93,1.02,20.63,26.83,5.06,1.6,0.92,18.11
Passeriformes,Pooecetes,gramineus,109991,m,26.50,4.02,1.21,17.87,1.77,20.39,3.3,0.99,20.78,28.17,5.22,1.69,0.99,18.48
Passeriformes,Pooecetes,gramineus,109992,m,26.50,3.96,1.34,17.76,1.76,19.87,3.88,1.08,20.71,26.64,4.93,1.66,0.97,18.5
Passeriformes,Pooecetes,gramineus,109993,m,26.50,3.9,1.31,18.06,1.56,19.46,2.78,0.87,19.78,27,4.59,1.65,0.86,16.8
Passeriformes,Pooecetes,gramineus,109994,m,26.50,4.04,1.28,18.64,1.8,20.87,3.75,0.95,21.29,27.97,5.25,1.68,1.05,19.03
Passeriformes,Pooecetes,gramineus,109995,m,26.50,4.04,1.23,18.4,1.83,20.44,3.17,1.07,21.89,29.04,5.31,1.68,0.96,18.66
Passeriformes,Quiscalus,major,110953,m,206.00,8.94,2.97,40.9,3.54,43.5,8.62,2.5,50.8,71.89,10.29,3.26,2.28,37.07
Passeriformes,Quiscalus,major,110440,m,206.00,9.13,2.94,38.44,3.44,40.78,9.41,2.47,48.18,65.53,10.3,3.24,1.96,34.2
Passeriformes,Quiscalus,major,110441,m,206.00,8.53,2.8,38.98,4.32,41.52,9.38,2.61,49.69,70.94,11.45,3.43,2.38,34.47
Passeriformes,Quiscalus,mexicanus,107757,f,116.00,6.94,2.33,31.88,3.37,32.85,6.03,1.82,39.22,54.41,8.83,2.84,1.65,27.41
Passeriformes,Quiscalus,nicaraguensis,110954,f,47.80,6.17,2.06,26.74,2.26,26.11,6.19,1.82,32.54,44.9,6.47,2.18,1.42,23.16
Passeriformes,Quiscalus,quiscula,109525,f,92.20,7.59,2.48,30.54,2.81,31.82,6.24,1.8,35.93,50.37,8.07,2.82,1.87,28.69
Passeriformes,Quiscalus,quiscula,112188,f,92.20,7.21,2.31,28.91,2.38,30.31,6.63,1.86,31.64,45.85,7.57,2.83,1.57,27.79
Passeriformes,Quiscalus,quiscula,104591,m,120.00,8.44,2.77,33.71,2.61,35.34,7.71,2.04,36.66,53.62,8.34,3.2,1.95,31.34
Passeriformes,Quiscalus,quiscula,106101,m,120.00,7.46,2.47,29.23,2.69,30.62,5.75,1.66,31.42,47.01,7.96,3.1,1.76,28.65
Passeriformes,Quiscalus,quiscula,103734,m,120.00,7.93,2.64,32.6,3.57,28.1,7.46,1.92,33.49,52.83,9.08,3.14,1.99,30.05
Passeriformes,Spindalis,zena,103423,f,21.10,4.26,1.28,19.24,1.75,19.06,3.83,0.99,20.46,31.13,5.06,1.51,0.98,18.19
Passeriformes,Spindalis,zena,104242,m,21.10,4.1,1.38,18.57,1.8,19.73,3.86,1.01,21.3,30.35,5.04,1.49,1.12,19.17
Passeriformes,Spindalis,zena,105202,m,21.10,4.08,1.35,17.31,1.74,18.92,3.91,1.02,20.14,28.04,5.14,1.61,1.09,18.57
Passeriformes,Sturnella,magna,110008,f,76.00,7.16,2.29,31.2,2.68,31.1,7.4,2.07,36.44,50.08,7.63,2.58,1.59,27.84
Passeriformes,Sturnella,magna,104621,f,76.00,7.29,2.34,30.84,2.6,31.11,6.99,1.86,36.58,50.18,7.56,2.58,1.58,27.86
Passeriformes,Sturnella,neglecta,104371,f,89.40,6.71,2.16,28.5,2.74,30.67,7.56,2.01,32.33,46.99,7.92,2.69,1.59,26.37
Passeriformes,Sturnella,neglecta,104373,f,89.40,6.8,2.29,28.02,2.58,28.4,7.15,1.95,32.55,46.44,7.37,2.81,1.56,25.38
Passeriformes,Sturnella,neglecta,104393,f,89.40,6.87,2.26,29.05,2.57,30.22,7.05,1.74,35.43,46,7.48,2.84,1.47,27.01
Passeriformes,Sturnella,neglecta,104391,f,89.40,6.68,2.2,28.46,2.73,28.5,7.02,2.01,34.22,45.24,7.78,2.76,1.72,26.82
Passeriformes,Sturnella,neglecta,104388,m,112.00,7.43,2.43,32.2,2.93,32.66,7.62,2.03,38.96,51.6,8.59,3.08,2.1,30.31
Passeriformes,Sturnella,neglecta,104372,m,112.00,7.62,2.48,31.03,2.85,30.83,6.65,1.92,36.83,49.32,8.37,3.03,1.81,28.73
Passeriformes,Sturnella,neglecta,104390,m,112.00,7.37,2.44,29.8,3.6,31.12,7.48,2.03,35.36,49.13,9.53,3.02,1.86,25.7
Passeriformes,Sturnella,neglecta,104381,m,112.00,7.82,2.58,32.58,2.68,33.33,7.51,2.1,38.02,50.99,8.42,3.09,1.76,29.84
Passeriformes,Vermivora,celata,112127,f,9.40,3.03,0.87,12.7,1.17,12.44,1.96,0.63,17.65,24.33,3.33,1.07,0.62,12.79
Passeriformes,Vermivora,celata,103564,f,9.40,2.98,0.99,12.2,1.25,12.32,2.42,0.8,17.78,23.55,3.61,1.07,0.79,11.73
Passeriformes,Vermivora,peregrina,108869,m,8.90,2.8,0.87,12.43,1,12.86,3,0.82,17.18,22.94,3.75,1.03,0.71,13.39
Passeriformes,Vermivora,peregrina,108870,m,8.90,3.02,0.95,13.18,1.13,13.34,2.25,0.61,17.3,24.48,3.9,1.04,0.64,13.35
Passeriformes,Vermivora,peregrina,108871,m,8.90,2.73,0.81,11.77,1.32,12.59,2.62,0.94,16.96,23.42,3.72,1.04,0.64,12.99
Passeriformes,Vermivora,peregrina,108866,m,8.90,3.03,1.01,12.97,1.17,13.31,2.59,0.73,16.71,23.64,3.57,1.04,0.72,13.24
Passeriformes,Vermivora,peregrina,108867,m,8.90,2.78,0.85,12.55,1.19,12.21,2.34,0.73,16.48,21.71,3.55,1.03,0.7,12.96
Passeriformes,Vermivora,peregrina,109426,f,8.90,2.62,0.79,12.36,1.09,11.97,2.4,0.7,16.08,24.13,3.38,1.05,0.71,13.03
Passeriformes,Vermivora,peregrina,108868,f,8.90,2.94,0.97,12.78,1.07,12.49,2.15,0.63,17.33,21.97,3.31,1.03,0.73,13.19
Passeriformes,Vermivora,peregrina,108864,f,8.90,2.44,0.79,12.9,1.14,13.08,2.34,0.8,17.26,23.82,3.3,1.02,0.62,13.6
Passeriformes,Vermivora,ruficapilla,108879,m,8.30,2.58,0.84,12.56,1.16,12.59,2.07,0.67,16.4,22.71,3.39,0.99,0.52,12.69
Passeriformes,Vermivora,ruficapilla,108880,m,8.30,2.75,0.93,12.05,1.39,12.67,2.37,0.65,16.53,22,3.83,0.99,0.67,12.29
Passeriformes,Vermivora,ruficapilla,108881,m,8.30,2.75,0.92,12.45,1.2,12.27,2.37,0.66,16.02,23.46,3.57,1.01,0.64,12.08
Passeriformes,Vermivora,virginae,112129,f,8.20,2.64,0.94,12.99,1.11,13.29,2.26,0.56,17.08,23.8,3.28,1,0.66,12.26
Passeriformes,Wilsonia,canadensis,110294,f,9.80,3.28,1.06,13.77,1.19,13.15,3.83,1.09,17.67,24.12,3.6,1.15,0.68,13.31
Passeriformes,Wilsonia,canadensis,110297,f,9.80,3.16,1.05,13.75,1.22,13.09,2.73,0.73,18.63,24.64,3.64,1.12,0.73,13.09
Passeriformes,Wilsonia,canadensis,103322,f,9.80,3.35,1.13,13.79,1.3,13.81,3.39,0.82,18.98,25.35,3.75,1.1,0.62,13.48
Passeriformes,Wilsonia,canadensis,108883,f,9.80,2.97,0.97,13.87,1.28,13.51,3.6,0.95,18.12,25.14,3.66,1.16,0.64,13.21
Passeriformes,Wilsonia,canadensis,108884,f,9.80,2.97,1,14.19,1.23,13.25,2.56,0.65,19.95,25.77,3.58,1.13,0.68,13.48
Passeriformes,Wilsonia,canadensis,110284,m,10.30,3.08,1.07,14.32,1.15,14.01,2.72,0.75,19.28,25.63,3.9,1.12,0.59,13.79
Passeriformes,Wilsonia,canadensis,103362,m,10.30,3.47,1.02,13.76,1.32,13.32,2.45,0.81,19.42,24.7,3.93,1.18,0.69,13.54
Passeriformes,Wilsonia,canadensis,108885,m,10.30,3.11,1.01,14.21,1.27,13.31,2.75,0.68,19.71,24.95,3.66,1.11,0.7,13.69
Passeriformes,Wilsonia,citrina,108887,m,10.80,3.17,1.03,14.08,1.34,13.48,2.8,0.82,19.52,24.21,3.97,1.16,0.72,13.7
Passeriformes,Wilsonia,citrina,108888,m,10.80,3.39,1.12,13.16,1.31,14.13,2.62,0.65,19.2,24.59,3.88,1.17,0.78,13.3
Passeriformes,Wilsonia,citrina,108889,m,10.80,2.97,0.99,14.16,1.3,14.33,2.73,0.75,20.55,26.26,3.66,1.19,0.63,14.17
Passeriformes,Wilsonia,citrina,110291,m,10.80,3.19,1.09,13.49,1.35,14.02,3,0.81,19.33,25.33,3.88,1.19,0.67,13.4
Passeriformes,Wilsonia,citrina,110293,m,10.80,3.08,1.02,13.96,1.26,14.08,2.95,0.77,19.89,25.73,3.63,1.14,0.76,13.72
Passeriformes,Wilsonia,pusilla,110330,f,6.70,2.61,0.91,12.41,0.99,11.56,2.15,0.68,17.6,25.91,2.98,1.01,0.6,11.62
Passeriformes,Wilsonia,pusilla,109433,f,6.70,2.51,0.78,12.32,0.84,11.15,1.63,0.53,18.91,23.43,2.91,1.02,0.55,11.38
Passeriformes,Wilsonia,pusilla,103938,f,6.70,2.56,0.82,12.24,1.02,11.24,2.26,0.62,16.91,23.43,2.98,1.09,0.66,11.17
Passeriformes,Wilsonia,pusilla,105854,f,6.70,2.81,0.89,13.27,0.9,11.3,2.01,0.65,17.93,24.07,3.06,1.02,0.56,11.43
Passeriformes,Wilsonia,pusilla,109432,m,7.00,2.64,0.83,12.24,0.94,11.71,1.92,0.54,19.02,23.4,3.25,1,0.7,11.91
Passeriformes,Wilsonia,pusilla,103585,m,7.00,2.7,0.85,12.24,0.87,11.49,1.96,0.58,18.14,22.83,3.06,1.12,0.67,11.31
Passeriformes,Wilsonia,pusilla,104012,m,7.00,2.25,0.73,12.03,1.07,11.98,3.24,0.85,19.72,24.6,3.46,1.07,0.62,11.77
Passeriformes,Xanthocephalus,xanthocephalus,112193,f,49.30,5.94,1.91,23.99,2.33,26.3,5.44,1.59,28.48,39.61,6.64,2.16,1.3,23.07
Passeriformes,Xanthocephalus,xanthocephalus,110443,m,79.70,7.62,2.4,29.86,2.83,32.81,7.59,1.95,35.42,50.97,8.69,2.66,1.71,29.49
Passeriformes,Xanthocephalus,xanthocephalus,110444,m,79.70,6.82,2.2,29.84,2.88,33.26,6.06,1.88,36.48,49.56,8.28,2.67,1.66,28.44
Passeriformes,Xanthocephalus,xanthocephalus,112192,m,79.70,6.63,2.17,27.6,2.74,31.22,5.77,1.83,34.22,47.03,8.03,2.71,1.63,28.22
Passeriformes,Zonotrichia,albicollis,108944,m,24.40,4.41,1.45,18.42,1.65,18.08,3.8,1.22,22.1,30.8,4.82,1.62,0.84,16.76
Passeriformes,Zonotrichia,albicollis,108946,m,24.40,4.48,1.39,19.13,1.66,19.24,4.68,1.1,25.19,32.76,4.89,1.62,1.03,18.22
Passeriformes,Zonotrichia,albicollis,108947,m,24.40,4.3,1.36,19.09,1.7,19.37,4.18,1.12,23.54,32.58,4.95,1.58,1.06,17.32
Passeriformes,Zonotrichia,albicollis,112174,m,24.40,4.35,1.41,19.51,1.69,18.75,3.44,1.12,22.73,32.51,4.93,1.6,1.01,18
Passeriformes,Zonotrichia,albicollis,112175,m,24.40,4.23,1.4,17.98,1.63,17.5,3.97,1.21,21.94,31.38,4.71,1.69,0.74,16.84
