FAMILY	SPECIES	Code	F.B.	N-F.B	BM	HL	dpL	bcL	deHW	dHW	UL	peUW	deUW	dUW	RL	dRW	CmL	CmW	DCmW	FL	dFWml	dFWcc	TL	TmL
	U. aalge	79468	CF	A	-0,0339	1,9391	1,5917	1,0418	0,9590	0,5900	1,8143	1,0124	0,9528	0,7551	1,7922	0,5391	1,6283	0,4624	0,8261	1,6769	0,5786	0,6972	1,9613	1,5708
	Fratercula cirrhata	43839	CF	A	-0,0757	1,8862	1,2330	1,0065	0,9299	0,5944	1,7920	0,9850	0,9671	0,7396	1,7725	0,5185	1,6363	0,4728	0,8102				1,8956	1,5564
	F. cirrhata	44412	CF	A	-0,0580	1,9101	1,2391	0,9952	0,9908	0,5855	1,8165	0,9903	0,9533	0,7168	1,8007	0,3674	1,6416	0,5065	0,8169	1,6967	0,5490	0,5877	1,9243	1,5613
	Cepphus carbo	43843	CF	A	-0,1549	1,8690	1,2767	1,0253	0,9294	0,6075	1,7894	0,9294	0,9400	0,7067	1,7698	0,4928	1,6178	0,4456	0,8215	1,6422	0,5821	0,5453	1,9070	1,5832
	C. carbo	43860	CF	A	-0,1612	1,8729	1,3183	1,0745	0,9232	0,5798	1,8004	0,9170	0,9450	0,7152			1,6324	0,4150	0,7825	1,6371	0,5539	0,5289	1,9070	1,5823
	C. carbo	43859	CF	A	-0,2147	1,8679	1,2842	1,0430	0,9782	0,6212	1,8004	0,9299	0,9415	0,7168	1,7811	0,5024	1,6282	0,4914	0,8162	1,6367	0,6064	0,5563	1,8930	1,5653
	Brachyramphus marmoratus	44435	CF	A	-0,6162	1,7173	1,3679	0,8082	0,6972	0,3674	1,6072	0,7686	0,7404	0,5623	1,5906	0,3404	1,4376	0,3424	0,6503	1,4005	0,3579	0,3404	1,6520	1,2209
	B. marmoratus	44434	CF	A	-0,5884	1,7195	1,4242	0,8513	0,7528	0,3927	1,6120	0,7966	0,7782	0,6149	1,5977	0,3802	1,4501	0,3096	0,6794	1,4198	0,3636	0,3598	1,6564	1,2373
	B. marmoratus	79447	CF	A	-0,5884	1,6765	1,3771	0,7679	0,7101	0,3424	1,5539	0,7497	0,7324	0,4969	1,5431	0,3160	1,3957	0,2788	0,6405					1,2068
Recurvirostridae	Himantopus himantopus	56452	CF	TG	-0,7328	1,7413	1,1550	0,8820	0,9196	0,5428	1,7812	0,7292	0,7709	0,4871	1,7612	0,3365	1,5279	0,3464	0,6454	1,5244	0,4456	0,4330	2,0795	2,0527
	H. himantopus	56631	CF	TG	-0,6556	1,7763	1,1838	0,9600	0,9657	0,5717	1,8183	0,7686	0,7889	0,5250	1,7964	0,3483	1,5691	0,4048	0,7033	1,5632	0,4843	0,5119		2,1320
	H. himantopus	56863	CF	TG	-0,7033	1,7657	1,1917	0,9112	0,9460	0,5786	1,7996	0,7612	0,8089	0,4969	1,7806	0,3404	1,5517	0,3424	0,6703	1,5312	0,4362	0,4487	2,1176	2,0797
	H. himantopus	60150	CF	TG	-0,8239	1,7650	1,1732	0,9435	0,9633	0,5575	1,8079	0,7619	0,7917	0,4698	1,7873	0,3096	1,5406	0,3522	0,6656	1,5285	0,4048	0,4281	2,1095	2,0752
Charadriidae	Vanellus vanellus	47182	CF	TG	-0,7305	1,7700	1,2044	0,8943	0,9987	0,6253	1,8334	0,8162	0,8537	0,5224	1,8127	0,3424	1,5496	0,3464	0,7634	1,5673	0,4579	0,4857		1,6832
	V. vanellus	56902	CF	TG	-0,7055	1,7771	1,2225	0,9484	0,9943	0,6138	1,8611	0,8156	0,8401	0,5146	1,8407	0,3424	1,5776	0,3404	0,7589	1,5570	0,4728	0,4900	1,8346	1,6774
	V. vanellus	59865	CF	TG	-0,6968	1,7681	1,2348	0,9469	0,9996	0,6191	1,8377	0,8209	0,8426	0,5705	1,8156	0,3385	1,5488	0,3802	0,7513	1,5442	0,4378	0,4472	1,8158	1,6667
	V. vanellus	58086	CF	TG	-0,6778	1,7742	1,1929	0,9509	0,9908	0,6222	1,8475	0,8109	0,8698	0,5647	1,8305	0,3729	1,5788	0,3522	0,7627	1,5724	0,4393	0,4533	1,8507	1,7068
	Pluvialis squatarola	38990	CF	TG	-0,7174	1,7195	1,0976	0,8949	0,9085	0,5515	1,7443	0,7818	0,7896	0,5263	1,7228	0,3202	1,5002	0,3118	0,6803	1,5686	0,4533	0,4518	1,8513	1,6679
	P. squatarola	33473	CF	TG	-0,7268	1,7362	1,1339	0,9117	0,8993	0,5353	1,7583	0,7642	0,7945	0,4969	1,7374	0,2856	1,4880	0,3202	0,6551	1,5806	0,4216	0,4548	1,8709	1,6968
	P. squatarola	38989	CF	TG	-0,7012	1,7211	1,1133	0,8293	0,8854	0,5551	1,7373	0,7451	0,7980	0,5185	1,7149	0,2742	1,4911	0,3579	0,6580	1,5671	0,4440	0,4609		1,6705
	P. squatarola	38992	CF	TG	-0,7242	1,7190	1,0853	0,8943	0,8943	0,5740		0,7372		0,5172	1,7203	0,3010	1,4784	0,3385	0,6628	1,5534	0,4378	0,4265	1,8351	1,6646
	Charadrius dubius	56829	CF	TG	-1,4134	1,4529	0,8357	0,6096	0,6571	0,2330	1,4922	0,5011	0,5198	0,1673	1,4714	-0,0506	1,2368	0,0294	0,3820	1,2849	0,0899	0,1239		1,3735
	C. dubius	56903	CF	TG	-1,4622	1,4411	0,8633	0,5877	0,6571	0,2355	1,4969	0,4684	0,4969	0,2041	1,4760	-0,0506	1,2538	0,0212	0,4133				1,5815	1,4019
	C. dubius	56904	CF	TG	-1,4437	1,4458	0,8609	0,6160	0,6233	0,2718	1,4982	0,4713	0,4942	0,2014	1,4768	-0,0177	1,2455	-0,0757	0,3674	1,2762	0,1703	0,1584	1,5565	1,3760
Scolopacidae	Scolopax rusticola	47280	CF	TG	-0,5467		1,0817	0,8921	0,9978	0,6590			0,8195	0,5527		0,3010	1,5773	0,3711	0,7308	1,6602	0,5670	0,5599	1,8222	1,5886
	S. rusticola	47281	CF	TG	-0,5171	1,7301	1,0910	0,9571	0,9759	0,6128	1,7826	0,8235	0,8182	0,5328	1,7442	0,2625		0,3560		1,6334	0,5478	0,5185	1,8081	1,5831
	S. minor	36977	CF	TG	-0,7520	1,6261	0,9939	0,7551	0,8848	0,4814	1,6727	0,6831	0,6637	0,3522	1,6368	0,1584	1,5582	0,1673	0,5694	1,5517	0,3962	0,4116	1,7199	1,4978
	S. minor	55189	CF	TG	-0,8153	1,6105	0,9952	0,8069	0,8675	0,4786	1,6602	0,6794	0,6665	0,3345	1,6228	0,1553	1,5340	0,1430	0,5611	1,5489	0,4393	0,4378	1,7139	1,4944
	S. minor	57803	CF	TG	-0,7905	1,6518	0,9657	0,7924	0,8797	0,5416	1,7077	0,6964	0,6964	0,4014	1,6710	0,1818	1,5701	0,2148	0,5922	1,5959	0,4928	0,4857	1,7659	1,5437
	S. minor	65736	CF	TG	-0,8539	1,6443	0,9791	0,8248	0,8960	0,4216		0,6703		0,3385	1,6688	0,1173	1,5591	0,1004	0,5378	1,5592	0,4330	0,4014	1,7234	1,4998
	Limosa limosa	46878	CF	TG	-0,7986	1,7287	1,0860	0,8069	0,8954	0,5366			0,7372	0,4518	1,7536	0,2355	1,4919	0,2529	0,5933	1,5535	0,4031	0,3874	1,8993	1,7917
	L. limosa	46883	CF	TG	-0,7986	1,7319	1,0689	0,8254	0,9274	0,5740	1,7669	0,7380	0,7760	0,4698	1,7447	0,2601	1,5034	0,3118	0,6444	1,5475	0,4472	0,4265	1,8875	1,7707
	L. limosa	47055	CF	TG	-0,7055	1,7665	1,1495	0,9096	0,9465	0,5705	1,8035	0,7767	0,7889	0,4757	1,7839	0,2718	1,5335	0,3444	0,6609	1,5766	0,4698	0,4969	1,9256	1,8133
	Tringa glareola	56514	CF	TG	-1,2503	1,5175	0,8332	0,6201	0,6981	0,3263	1,5544	0,5159	0,5623	0,2648	1,5349	0,0531	1,3216	0,1004	0,4579	1,3911	0,2355	0,2553	1,7119	1,5580
	T. glareola	56515	CF	TG	-1,0560	1,5406	0,8382	0,6911	0,7574	0,3838	1,5790	0,5682	0,6085	0,3181	1,5529	0,0453	1,3481	0,1072	0,4871	1,4101	0,2765	0,2989	1,7178	1,5992
	T. glareola	56947	CF	TG	-1,2292	1,5211	0,8189	0,6920	0,7033	0,3711	1,5623	0,5391	0,5900	0,2833	1,5374	0,0170	1,3414	0,1173	0,4639	1,3941	0,2430	0,2601	1,7166	1,5847
	T. glareola	56457	CF	TG	-1,1549	1,5283	0,8609	0,6503	0,7316	0,3892	1,5644	0,5623	0,6107	0,3304	1,5439	0,0719	1,3412	0,1271	0,5146	1,3974	0,2330	0,2148	1,7243	1,6086
	Numenius madagascariensis	46886	CF	TG	-0,1688	1,9804	1,3558	1,1720	1,1310	0,7796	2,0375	0,9330	0,9736	0,6444			1,7193	0,4654	0,7959	1,7718	0,6474	0,6739	2,0678	1,9530
	N. madagascariensis	47056	CF	TG	-0,0969	2,0191	1,3799	1,1202	1,1523	0,7782	2,0773	0,9741	0,9991	0,6785	2,0602	0,4713	1,7702	0,5038	0,8129	1,8006	0,6599	0,6767	2,0931	1,9854
	N. madagascariensis	46885	CF	TG	-0,1993	1,9980	1,3506	1,1711	1,1313	0,7810	2,0470	0,9699	0,9863	0,6618	2,0274	0,4871	1,7358	0,4800	0,8136	1,7704	0,6609	0,6618	2,0641	1,9574
	N. madagascariensis	47183	CF	TG	-0,1675	2,0217	1,3946	1,2087	1,1508	0,7619	2,0677	0,9930	1,0124	0,6484	2,0495	0,4914	1,7617	0,4914	0,8096	1,8043	0,6435	0,6767	2,0788	1,9583
	Calidris minuta	*18825	CF	TG	-1,8539	1,3683	0,6840	0,5999	0,5763	0,2041	1,4019	0,3636	0,4579	0,2253	1,3835	-0,1549	1,1773	-0,0757	0,3032	1,2006	0,0899	0,1072	1,5511	1,3391
	C. minuta	*18843	CF	TG	-1,5850	1,3727	0,6972	0,6385	0,5587	0,1987	1,4023	0,3909	0,4378	0,1847	1,3804	-0,2076	1,1847	-0,0458	0,3010	1,2256	0,0374	0,0899	1,5266	1,3249
	C. minuta	*18822	CF	TG	-1,6990	1,3793	0,7016	0,5740	0,5659	0,2253	1,4072	0,4265	0,3802	0,2406	1,3806	-0,1249	1,1694	0,0212	0,3054	1,2430	0,1173	0,1523	1,5505	1,3111
	Actitis hypoleucos	*18832	CF	TG	-1,3010	1,4349	0,7490	0,6274	0,6599	0,2833	1,4682	0,4503	0,5052	0,2406	1,4412		1,2524	-0,0315	0,3711	1,3528	0,1790	0,1790	1,5938	1,3856
	A. hypoleucos	*18836	CF	TG	-1,2840	1,4216	0,7679	0,6191	0,6561	0,3202	1,4458	0,5159	0,5302	0,2455	1,4239	-0,0315	1,2222	-0,0132	0,4065	1,3543			1,5800	1,3764
Pandionidae	Pandion haliaetus	63002	S	TN	0,1903	2,1694	1,7173	1,2929	1,3883	0,9890	2,2680	1,1492	1,1550	0,8993	2,2532	0,6355	1,9330	0,6955	1,0170	1,8989	0,8797	0,8698	2,1089	1,7330
	P. haliaetus	73955	S	TN	0,0090	2,1306	1,6772	1,2348	1,3326	0,9827	2,2381	1,1173	1,1082	0,7973		0,5866	1,9166	0,6703	0,9754	1,8698	0,8338	0,7810	2,0773	1,6970
	P. haliaetus	79102	S	TN	0,0212	2,1394	1,7132	1,1895	1,3475	0,9818	2,2506	1,1045	1,1209	0,8451	2,2324	0,6628	1,9235	0,7093	0,9800	1,8699	0,8494	0,8338	2,0826	1,6970
	P. haliaetus	89927	S	TN	0,1163	2,1459	1,6986	1,2028	1,3568	0,9863	2,2501	1,1176	1,1261	0,8494	2,2334	0,6503	1,9201	0,6693	0,9991	1,8685	0,8420	0,8102	2,0873	1,7050
Accipitridae	Aquila chrysaetos	59391	S	TN	0,6021	2,2535	1,8018	1,4259	1,5077	1,1313	2,3148	1,2644	1,2465	1,0030	2,2900	0,8312	1,9929	0,8169	1,2178	2,0787	1,0941	1,0867	2,2071	1,9887
	A. chrysaetos	59393	S	TN	0,5172	2,2553	1,8034	1,4462	1,4852	1,1123	2,3178	1,2482	1,2360	0,9926	2,2942	0,7745	1,9861	0,7952	1,1992	2,0811	1,0903	1,0719	2,2150	1,9968
	A. chrysaetos	63356	S	TN	0,6884	2,2824	1,8259	1,5095	1,5320	1,1405	2,3409	1,3017	1,2728	1,0290	2,3178	0,8704	2,0108	0,8143	1,2353	2,1086	1,1449	1,1183	2,2221	2,0046
	A. chrysaetos	59392	S	TN	0,5563	2,2487	1,7873	1,4111	1,4933	1,0962	2,3176	1,2641	1,2219	0,9939	2,2931	0,7324	1,9848	0,8014	1,2003	2,0925	1,0795	1,0674	2,2145	2,0046
	Buteo jamaicensis	69579	S	TN	0,1153	2,0680	1,5942	1,2801	1,3077	0,9395	2,0395	1,0842	1,0622	0,8202	2,0075	0,5263	1,8233	0,6580	1,0322	1,9394	0,8998	0,8954	2,0727	1,9542
	B. jamaicensis	69545	S	TN	0,0569	2,0535	1,5774	1,2742	1,3111	0,9069	2,1158	1,0795	1,0565	0,8156	1,9799	0,5843	1,8063	0,6314	1,0060	1,9256	0,8519	0,8669	2,0615	1,9330
	B. jamaicensis	84262	S	TN	0,0253	2,0192	1,5790	1,2204	1,2658	0,8733		1,0224	0,9479	0,7716	2,0734	0,5079	1,7867	0,5832	0,9335	1,8998	0,8420	0,8555	2,0465	1,9305
	Accipiter gentilis	64855	S	TN	0,0414	1,9877	1,5412	1,1987	1,2443	0,8698	2,0400	1,0488	1,0086	0,7810			1,7611	0,5428	0,9455	1,9183	0,8567	0,8344	2,0557	1,9109
	A. gentilis	80189	S	TN	-0,1146	1,9808	1,4850	1,1647	1,2418	0,8745	2,0298	1,0322	0,9800	0,7582	1,9940	0,5551	1,7550	0,5832	0,9253	1,9034	0,8306	0,8195	2,0188	1,8814
	A. virgatus	59781	S	TN	-0,9747	1,6372	1,1370	0,8651	0,9212	0,5250	1,7277	0,7202	0,6767	0,4265	1,6978	0,0934	1,4190	0,2095	0,6405	1,5982	0,4997	0,4800	1,7376	1,6828
	A. virgatus	59915	S	TN	-1,0173	1,6277	1,1255	0,8228	0,9274	0,5172	1,7130	0,7243	0,6665	0,4409	1,6802	0,1173	1,4077	0,2718	0,6785	1,5726	0,4928	0,4757	1,7291	1,6781
	A. virgatus	59708	S	TN	-0,9208	1,6348	1,1222	0,7803	0,9080	0,5315	1,7212	0,7185	0,6730	0,4200	1,6865	0,1004	1,4203	0,1818	0,6284	1,5835	0,4728	0,4487	1,7426	1,6720
	A. virgatus	59884	S	TN	-0,9706	1,6161	1,1065	0,7796	0,9279	0,5250	1,7009	0,6981	0,6703	0,4200	1,6706	0,0607	1,3966	0,2279	0,6325	1,5716	0,4771	0,4330	1,7174	1,6676
	Circus aeruginosus	56450	S	TN	-0,2676	2,0001	1,5085	1,1816	1,1973	0,8451	2,0733	0,9736	0,9676	0,7118	2,0480	0,4594	1,7717	0,5238	0,8904	1,8239	0,7559	0,7435	2,0149	
	C. aeruginosus	56456	S	TN	-0,2518	2,0066	1,5452	1,2074	1,1892	0,8254	2,0757	0,9881	0,9528	0,7024	2,0527	0,4594	1,7930	0,4814	0,8938	1,8380	0,7364	0,7235	2,0123	1,9168
	C. aeruginosus	56488	S	TN	-0,2636	2,0059	1,5376	1,2238	1,2143	0,8567	2,0849	1,0228	0,9859	0,7308	2,0598	0,5441	1,7852	0,4969	0,9345	1,8407	0,7818	0,7896	2,0187	1,9146
	Haliaeetus leucocephalus	81884	S	TN	0,5159	2,3046	1,8486	1,5062	1,5274	1,1421	2,3696	1,2730	1,2641	0,9759	2,3505	0,7050	2,0062	0,8169	1,1767	2,0682	1,0686	1,0546	2,1879	1,9500
	H. leucocephalus	65201	S	TN	0,7348	2,3062	1,8273	1,5147	1,5449	1,1720	2,3663	1,2883	1,2641	1,0090	2,3410	0,8028	2,0252	0,8143	1,2191	2,0604	1,1193	1,0799	2,1907	1,9511
	H. leucocephalus	33937	S	TN	0,6464	2,3060	1,8563	1,5020	1,5234	1,1566	2,3716	1,2949	1,2718	0,9890	2,3482	0,7185	2,0376	0,8293	1,2036	2,0568	1,0781	1,0508	2,1853	1,9362
	Haliastur indus	58751	S	TN	-0,2182	2,0092	1,5385	1,1755	1,2047	0,8414	2,0692	1,0154	0,9552	0,7443	2,0490	0,3711	1,7375	0,5159	0,9571	1,7897	0,7627	0,7300	1,9379	1,7521
	H. indus	73850	S	TN	-0,2133	2,0423	1,5679	1,1587	1,2230	0,8525	2,1101	0,9978	1,0026	0,7612	2,0895	0,5340	1,7747	0,5832	0,9533	1,7854	0,7521	0,7551	1,9193	1,7476
	H. indus	76196	S	TN	-0,2857	2,0226	1,5552	1,1461	1,2030	0,8195	2,0984	0,9836	0,9895	0,7300	2,0822	0,4669	1,7691	0,5539	0,9435	1,7727	0,7251	0,7160	1,9075	1,7207
Cathartidae	Cathartes aura	81580	S	TN	0,2492	2,1652	1,7739	1,2862	1,4481	1,0667	2,2420	1,2248	1,2217	0,9425	2,2183	0,7832	1,9097	0,8579	1,1781	1,8410	0,9340	0,9299	2,0703	1,7962
	C. aura	84397	S	TN	0,2201	2,1604	1,7608	1,2667	1,4476	1,0966	2,2369	1,2245	1,2066	0,9708	2,2144	0,7853	1,9040	0,8500	1,1798	1,8253	0,9465	0,9841	2,0615	1,8028
Tytonidae	Tyto alba	66222	FG	TN	-0,3813	1,9831	1,4859	1,0986	1,1816	0,7642	2,0437	0,9590	0,8943	0,6484	2,0212	0,4330	1,6929	0,3962	0,8639	1,7760	0,6758	0,6542	2,0141	1,8390
	T. alba	66223	FG	TN	-0,4889	1,9870	1,4676	1,1271	1,1682	0,7649	2,0473	0,9217	0,8756	0,6444	2,0312	0,3962	1,6995	0,3874	0,8960	1,7738	0,6561	0,6493	2,0172	1,8505
	T. alba	78855	FG	TN	-0,2992	2,0007	1,4679	1,1225	1,1833	0,7825	2,0502	0,9460	0,9138	0,6739	2,0317	0,4425	1,7142	0,4684	0,8681	1,7800	0,7093	0,7059	2,0166	1,8751
	T. alba	79064	FG	TN	-0,3979	1,9857	1,4547	1,1319	1,1729	0,7767	2,0487	0,9227	0,8954	0,6523	2,0306	0,4579	1,7131	0,4116	0,8531	1,7641	0,6749	0,6464	2,0072	1,8713
Strigidae	Bubo virginianus	72511	FG	TN	-0,0799	2,1235	1,6172	1,2263	1,3330	0,9133	2,1529	1,0752	1,0656	0,8300	2,1581	0,6590	1,8200	0,5809	1,0112	1,9099	0,8722	0,8591	2,0891	1,7810
	B. virginianus	84417	FG	TN	0,0187	2,1004	1,5858	1,2141	1,3257	0,8949	2,1535	1,0828	1,0584	0,8069	2,0394	0,6415	1,7942	0,5752	1,0030	1,9056	0,8525	0,8069	2,0680	
	B. virginianus	76759	FG	TN	0,0878	2,1485	1,6358	1,2737	1,3683	0,9465	2,1982	1,1113	1,1014	0,8414	2,1796	0,6875	1,8358	0,6375	1,0406	1,9444	0,9031	0,8848	2,1066	1,8090
	Nyctea scandica	76751	FG	TN	0,1793	2,2012	1,7052	1,2693	1,3986	1,0030	2,2560	1,1361	1,1377	0,9138	2,2397	0,7642	1,9208	0,7093	1,0774	1,9526	0,9058	0,9053	2,0855	1,7403
	N. scandica	79185	FG	TN	0,2172	2,2117	1,7231	1,3651	1,4069	0,9965	2,2630	1,1532	1,1532	0,9042	2,2437	0,7604	1,9338	0,7101	1,0976	1,9661	0,9085	0,9036	2,0816	1,7409
	Strix occidentalis	47929	FG	TN	-0,2596	2,0009	1,5138	1,1345	1,2524	0,8426	2,0465	0,9652	0,9717	0,7308	2,0267	0,5403	1,6917	0,5119	0,9547	1,8319	0,7177	0,7152	1,9871	1,7398
	S. occidentalis	47930	FG	TN	-0,3778	1,9905	1,4914	1,0759	1,2274	0,7832	2,0307	0,9320	0,9469	0,6902	2,0095	0,4928	1,6811	0,4609	0,9460	1,8222	0,6972	0,6849	1,9712	1,7435
	Asio otus	56705	FG	TN	-0,4353	1,9229	1,4323	1,0519	1,1133	0,7152	1,9757	0,8525	0,8445	0,5900	1,9599	0,3617	1,6478	0,3856	0,8597	1,7375	0,5832	0,5694	1,9068	1,6186
	A. otus	56706	FG	TN	-0,5129	1,8771	1,3865	0,9791	1,0814	0,6857		0,8274	0,8344		1,9160	0,3655	1,5926	0,3522	0,8189	1,7075	0,5694	0,5705	1,8766	1,5736
	A. otus	59694	FG	TN	-0,4685	1,9057	1,3934	1,0438	1,0997	0,7033	1,9568	0,8585	0,8500	0,6274	1,9385	0,3802	1,6244	0,3892		1,7357	0,5911	0,6064	1,9027	1,6161
	A. otus	85097	FG	TN	-0,5575	1,9087	1,3909	1,0216	1,0993	0,7160	1,9609	0,8494	0,8567	0,5988	1,9410	0,3483	1,6099	0,3729	0,8543	1,7187	0,5623	0,5599	1,8903	1,6186
	Ninox novaeseelandiae	62832	FG	TN	-0,5157	1,8362	1,3467	0,9047	1,0774	0,6375	1,9042	0,8241	0,8306	0,5378	1,8807	0,3748	1,5618	0,3424	0,8069	1,6778	0,5694	0,5302	1,8812	1,6136
	N. novaeseelandiae	57397	FG	TN	-0,3010	1,9301	1,4309	1,0330	1,1841	0,7443	1,9886	0,9571	0,9375	0,6503	1,9658	0,4969	1,6507	0,4786	0,8791	1,7218	0,6884	0,6395	1,9409	1,5806
	N. novaeseelandiae	62833	FG	TN	-0,4750	1,8712	1,3879	0,9647	1,1143	0,6972	1,9309	0,8722	0,8633	0,5705	1,9078	0,3729	1,5961	0,4216	0,8488	1,7194	0,6335	0,6107	1,9105	1,6432
	Aegolius funereus	44736	FG	TN	-1,0429	1,6861	1,2030	0,8338	0,9420	0,5132	1,7540	0,6571	0,6822	0,4233	1,7364	0,2068	1,3895	0,2833	0,6822	1,5785	0,4639	0,4346	1,7069	1,3595
	A. funereus	44726	FG	TN	-0,8996	1,6629	1,1855	0,8319	0,9375	0,5038	1,7239	0,6618	0,6580	0,4116	1,7021	0,1790	1,3604	0,2330	0,6618	1,5501	0,4518	0,4564	1,6766	1,3391
	A. funereus	44730	FG	TN	-0,9208	1,6801	1,1844	0,8248	0,9128	0,4942	1,7398	0,6503	0,6503	0,3979	1,7183	0,1430	1,3779	0,2355	0,6646	1,5705	0,4409	0,4425	1,6949	1,3426
	A. funereus	44737	FG	TN	-0,9940	1,6773	1,2000	0,8055	0,8943	0,4900		0,6395	0,6609	0,3802	1,7078	0,1553	1,3677	0,2253	0,6551	1,5651	0,4425	0,4409	1,6824	
Upupidae	Upupa epops	46408	FB	TG	-1,1643		1,0857	0,6911	0,9074	0,4857	1,6704	0,7235	0,6946	0,4346			1,3128	0,2148	0,7672	1,3799	0,3945	0,3139	1,5536	1,3412
	U. epops	56497	FB	TG	-1,1798	1,5163	1,0663	0,6656	0,8820	0,4942	1,6542	0,7193	0,6812	0,3766	1,6106	0,1399	1,2927	0,2480	0,7505	1,3709	0,3424	0,2810	1,5527	1,3406
	U. epops	56678	FB	TG	-1,0809	1,5579	1,1166	0,7582	0,9227	0,5353	1,6921	0,7084	0,7226	0,4233	1,6478	0,2068	1,3276	0,2788	0,7528	1,4067	0,3674	0,3579	1,5825	1,3547
Picidae	Dryocopus martius	56955	FB	TN	-0,4685	1,7437	1,2838	0,8585	1,1179	0,7356	1,8168	0,8893	0,8938	0,6395	1,7727	0,3636	1,4947	0,3655	0,8102	1,6395	0,6675	0,6355	1,7503	1,5914
	D. martius	59748	FB	TN	-0,4559	1,7455	1,3019	0,8639	1,1129	0,7356	1,8230	0,8751	0,8971	0,6415	1,7714	0,2900	1,4843	0,4014	0,8082	1,6362	0,6675	0,6243	1,7453	1,5786
	D. martius	59988	FB	TN	-0,4584	1,7445	1,2856	0,9015	1,1159	0,7340	1,8207	0,9149	0,8882	0,6395	1,7686	0,4654	1,4965	0,3997	0,8235	1,6283	0,6464	0,6128	1,7419	1,5891
	D. martius	64701	FB	TN	-0,5003	1,7197	1,3187	0,8686	1,1106	0,7093	1,7989	0,8549	0,8716	0,6274	1,7502	0,3075	1,4636	0,3636	0,8028	1,6138	0,6365	0,5944	1,7296	1,5555
	Colaptes auratus	56373	FB	TN	-0,8996	1,6028	1,1163	0,7482	0,9355	0,5198	1,6754	0,7459	0,7292	0,4487	1,6300	0,0128		0,2014	0,6415	1,4732	0,3892	0,3345	1,6413	1,4621
	C. chrysoides	84071	FB	TN	-0,9547	1,5937	1,0857	0,7300	0,9494	0,5238	1,6716	0,7226	0,6937	0,4265	1,6267	0,0374	1,3265	0,2765	0,6284	1,4739	0,4014	0,3766	1,6383	1,4694
	Picoides tridactylus	56772	FB	TN	-1,1772	1,4420	0,9633	0,5276	0,7959	0,4362	1,5013	0,5717	0,5888	0,3444	1,4586	-0,1675	1,1898	0,1492	0,5224	1,3553	0,3503	0,3160	1,4890	1,3218
	P. tridactylus	56806	FB	TN	-1,1720	1,4447	0,9042	0,5877	0,8274	0,3874	1,5050	0,5821	0,5682	0,3096	1,4602	-0,1487	1,1875	0,1523	0,5024	1,3627	0,3541	0,2856	1,4888	1,3179
	P. tridactylus	56807	FB	TN	-1,1549	1,4624	0,9042	0,6128	0,8254	0,3945	1,5345	0,5821	0,5966	0,3222	1,4854	-0,0915	1,1940	0,0719	0,5515	1,3897	0,3692	0,3181	1,5254	1,3302
	P. tridactylus	56963	FB	TN	-1,1427		0,9533	0,5809	0,8267		1,5219	0,5900	0,6160	0,3404	1,4804	0,1303	1,2060	0,1553	0,5353	1,3826	0,4082	0,3304		1,3422
Alcedinidae	Alcedo atthis	47194	CF	TN	-1,5575	1,3640	0,6590	0,4200	0,6222	0,2253	1,4685	0,4639	0,4082	0,1139			1,0630	0,0374	0,3927	1,1694	0,1038	0,0899	1,3528	0,9375
	A. atthis	63315	CF	TN	-1,4559	1,3985	0,7210	0,5224	0,6693	0,2625	1,5031	0,5263	0,4624	0,1553	1,4652	-0,0655	1,1072	0,0569	0,4503	1,2117	0,1303	0,1004	1,4064	0,9903
	A. atthis	66027	CF	TN	-1,3925	1,3978	0,7118	0,5024	0,6684	0,3075	1,5069	0,5079	0,4669	0,1761	1,4748	-0,0410	1,1079	0,0043	0,4393	1,1995	0,1523	0,1206	1,4093	0,9930
	A. atthis	71986	CF	TN	-1,4949	1,3674	0,6911	0,3784	0,6325	0,2553	1,4747	0,4800	0,4314	0,1584	1,4475	-0,0555	1,0785	0,0453	0,3820	1,1673	0,1139	0,0682	1,3822	0,9499
	Megaceryle alcyon 	86148	CF	TN	-0,7881	1,6987	1,1461	0,8609	0,9538	0,5855	1,7888	0,7521	0,7825	0,4713	1,7660	0,0969	1,4288	0,3560	0,6712	1,4398	0,3962	0,3711	1,5770	1,0484
	M. alcyon 	86149	CF	TN	-0,8133	1,6936	1,1691	0,8202	0,9435	0,5539	1,7828	0,7597	0,7774	0,4518	1,7574	0,0645	1,4323	0,2695	0,6395	1,4293	0,3617	0,3820	1,5802	1,0704
	Dacelo novaeguineae	57788	CF	TN	-0,6021	1,8467	1,2365	0,9845	1,0881	0,6749	1,9405	0,8500	0,8780	0,5922	1,9141	0,4166	1,5312	0,4564	0,7945	1,5881	0,4983	0,5106	1,7581	1,3938
	D. novaeguineae	62803	CF	TN	-0,4921	1,8277	1,2191	0,9970	1,0777	0,6618	1,9287	0,8363	0,8704	0,6253	1,9038	0,3096	1,5196	0,4886	0,8062	1,5536	0,5079	0,5092	1,7449	1,3901
	D. novaeguineae	62838	CF	TN	-0,6364	1,8397	1,2686	0,9717	1,0704	0,6513	1,9279	0,8591	0,8675	0,5798	1,9051	0,3579	1,5219	0,3598	0,7723	1,5917	0,4786	0,4684	1,7651	1,4030
