FAMILY	SPECIES	Code	F.B.	N-F.B	BM	HL	dpL	bcL	deHW	dHW	UL	peUW	deUW	dUW	RL	dRW	CmL	CmW	DCmW	FL	dFWml	dFWcc	TL	TmL
	M. gallopavo	62726	CF	TG	0,6569	2,1055	1,5150	1,3541	1,4406	1,1235	2,1018	1,2135	1,2269	0,9768	2,0509	0,6464	1,8058	0,7427	1,1620	2,0672	1,0099	0,9868		2,1124
Tetraonidae	Lagopus lagopus	58894	CF	TG	-0,2090	1,7871	1,1824	0,9657	1,0756	0,7657	1,7714	0,9101	0,9294	0,6160	1,7235	0,3522	1,5099	0,5024	0,8432	1,7983	0,6415	0,6444	1,9041	1,6043
	L. lagopus	58895	CF	TG	-0,2328	1,7866	1,1650	1,0318	1,0584	0,7782	1,7597	0,9299	0,8831	0,6523	1,7089	0,3579	1,5126	0,4886	0,8306	1,7785	0,6955	0,7033	1,8728	1,5854
	L. lagopus	58896	CF	TG	-0,2403	1,7835	1,1569	1,0406	1,0599	0,7551	1,7448	0,8797	0,8727	0,6064	1,7037	0,3181	1,4793	0,4564	0,7868	1,7735	0,6425	0,6395	1,8800	1,5739
	L. lagopus	79851	CF	TG	-0,2310	1,8011	1,1973	1,0224	1,0689	0,7619	1,7745	0,9042	0,9207	0,6284	1,7256	0,3979	1,5240	0,4624	0,8332	1,8114	0,6955	0,6730	1,9185	1,6276
	Tetrao parvirostris	44017	CF	TG	0,1761	1,9989	1,3860	1,1532	1,2753	0,9628	1,9964	1,0817	1,0969	0,8122	1,9502	0,5900	1,7212	0,6637	1,0158	1,9366	0,8500	0,8395	2,0310	1,7414
	T. parvirostris	51609	CF	TG	0,4829	2,0947	1,4664	1,3002	1,3722	1,0803	2,0927	1,1781	1,1962	0,9370	2,0504	0,6675	1,8184	0,7860	1,1229	2,0367	0,9685	0,9895	2,1187	1,8411
	T. parvirostris	51655	CF	TG	0,2788	2,0021	1,4110	1,1917	1,2833	0,9694	1,9970	1,0835	1,1045	0,8274	1,9477	0,5740	1,7232	0,6712	1,0302	1,9361	0,8739	0,8681	2,0299	1,7466
	T. parvirostris	60001	CF	TG	0,4456	2,0938	1,5118	1,2962	1,3644	1,0792	2,0927	1,1661	1,1830	0,9284	2,0529	0,6542	1,8054	0,8176	1,1261	2,0351	0,9614	0,9912	2,1288	1,8410
Phasianidae	Perdix perdix	56877	CF	TG	-0,2757	1,7010	1,1048	0,9814	1,0069	0,6684	1,6601	0,7903	0,8096	0,5694	1,6146	0,2601	1,4181	0,3692	0,7544	1,7475	0,6222	0,6117	1,8451	1,6360
	P. perdix	56882	CF	TG	-0,4179	1,7012	1,0839	0,9469	0,9791	0,6444	1,6491	0,8089	0,8102	0,5563	1,6015	0,2253	1,4103	0,3464	0,7551	1,7458	0,6096	0,5977	1,8436	1,6124
	P. perdix	58115	CF	TG	-0,4295	1,6974	1,1059	0,8344	0,9877	0,6693	1,6612	0,8401	0,8096	0,5416	1,6128	0,2504	1,4143	0,3598	0,7466	1,7579	0,6335	0,6263	1,8524	1,6201
	P. perdix	58116	CF	TG	-0,3936	1,6740	1,0581	0,9680	0,9890	0,6551	1,6350	0,7846	0,8075	0,5611	1,5841	0,2695	1,4088	0,3636	0,7753	1,7208	0,5832	0,5966	1,8337	1,6079
	Cotournix cotournix	53188	CF	TG	-1,0580	1,5130	0,7924	0,6902	0,6964	0,3560	1,4469	0,6021	0,5224	0,3464	1,4111	-0,0362	1,2391	0,1367	0,5159	1,5438	0,3304	0,3243	1,6258	1,4065
	C. cotournix	61354	CF	TG	-0,9957	1,5211	0,8831	0,6590	0,7427	0,4150	1,4570	0,6284	0,5821	0,3503	1,4103	0,0294	1,2558	0,1818	0,4942	1,5395	0,3979	0,4031	1,6256	1,4104
