common,tax,order,family,tribe,genus,species,taxon,location,ecosystem,country
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Hopcraft Game Ranch,ATHI,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Hopcraft Game Ranch,ATHI,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Hopcraft Game Ranch,ATHI,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Hopcraft Game Ranch,ATHI,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Hopcraft Game Ranch,ATHI,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Hopcraft Game Ranch,ATHI,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Hopcraft Game Ranch,ATHI,Kenya
klipspringer,Oreotragus oreotragus,Artiodactyla,Bovidae,Antilopini,Oreotragus,oreotragus,Antilopini,Lukenya,ATHI,Kenya
klipspringer,Oreotragus oreotragus,Artiodactyla,Bovidae,Antilopini,Oreotragus,oreotragus,Antilopini,Lukenya,ATHI,Kenya
common duiker,Sylvicapra grimmia,Artiodactyla,Bovidae,Cephalophini,Sylvicapra,grimmia,Cephalophini,Athi River,ATHI,Kenya
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Lukenya,ATHI,Kenya
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Lukenya,ATHI,Kenya
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Lukenya,ATHI,Kenya
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Athi River,ATHI,Kenya
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Hopcraft Game Ranch,ATHI,Kenya
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Hopcraft Game Ranch,ATHI,Kenya
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Hopcraft Game Ranch,ATHI,Kenya
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Komarock,ATHI,Kenya
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Thika,ATHI,Kenya
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Thika,ATHI,Kenya
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Sukari Ranch,ATHI,Kenya
steenbok,Raphicerus campestris,Artiodactyla,Bovidae,Neotragini,Raphicerus,campestris,Neotragini,Athi River,ATHI,Kenya
steenbok,Raphicerus campestris,Artiodactyla,Bovidae,Neotragini,Raphicerus,campestris,Neotragini,Athi River,ATHI,Kenya
steenbok,Raphicerus campestris,Artiodactyla,Bovidae,Neotragini,Raphicerus,campestris,Neotragini,Athi River,ATHI,Kenya
steenbok,Raphicerus campestris,Artiodactyla,Bovidae,Neotragini,Raphicerus,campestris,Neotragini,Lukenya,ATHI,Kenya
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus,Phacochoerus,Thika,ATHI,Kenya
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus ,Phacochoerus,Athi River,ATHI,Kenya
warthog,Phacochoerus aethiopicus,Artiodactyla,Suidae,,Phacochoerus,aethiopicus ,Phacochoerus,Athi River,ATHI,Kenya
waterbuck,Kobus ellipsiprymnus,Artiodactyla,Bovidae,Reduncini,Kobus,ellipsiprymnus,Reduncini,Athi River,ATHI,Kenya
waterbuck,Kobus ellipsiprymnus,Artiodactyla,Bovidae,Reduncini,Kobus,ellipsiprymnus,Reduncini,Thika,ATHI,Kenya
Chanler's Mtn reedbuck,Redunca fulvorufula,Artiodactyla,Bovidae,Reduncini,Redunca ,fulvorufula ,Reduncini,Lukenya,ATHI,Kenya
Chanler's Mtn reedbuck,Redunca fulvorufula,Artiodactyla,Bovidae,Reduncini,Redunca ,fulvorufula ,Reduncini,Lukenya,ATHI,Kenya
eland,Taurotragus oryx,Artiodactyla,Bovidae,Tragelaphini,Taurotragus ,oryx ,Tragelaphini,Athi plains,ATHI,Kenya
eland,Taurotragus oryx,Artiodactyla,Bovidae,Tragelaphini,Taurotragus,oryx,Tragelaphini,Athi Plains,ATHI,Kenya
lesser kudu,Tragelaphus imberbis,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,imberbis,Tragelaphini,Konza,ATHI,Kenya
lesser kudu,Tragelaphus imberbis,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,imberbis,Tragelaphini,Athi River,ATHI,Kenya
"hartebeest, Swayne's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Awash NP,AWSH,Ethiopia
"hartebeest, Swayne's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Awash NP,AWSH,Ethiopia
Soemmerring's gazelle,Nanger soemmerringii,Artiodactyla,Bovidae,Antilopini,Nanger,soemmerringii,Antilopini,Awash NP,AWSH,Ethiopia
Grevy's zebra,Equus grevyi,Perissodactyla,Equidae,,Equus,grevyi,Equus,Awash NP,AWSH,Ethiopia
Grevy's zebra,Equus grevyi,Perissodactyla,Equidae,,Equus,grevyi,Equus,Awash NP,AWSH,Ethiopia
