common,tax,order,family,tribe,genus,species,taxon,location,ecosystem,country
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Sokoke,KCST,Kenya
hippopotamus,Hippopotamus amphibius,Artiodactyla,Hippopotamidae,,Hippopotamus,amphibius,Hippopotamus,Sokoke,KCST,Kenya
savanna elephant,Loxodonta africana,Proboscidea,Elephantidae,,Loxodonta,africana,Loxodonta,Kiunga,KCST,Kenya
dik-dik,Madoqua kirkii,Artiodactyla,Bovidae,Neotragini,Madoqua,kirkii,Neotragini,Dakacha,KCST,Kenya
dik-dik,Madoqua kirkii,Artiodactyla,Bovidae,Neotragini,Madoqua,kirkii,Neotragini,Sokoke,KCST,Kenya
Suni antelope,Neotragus moschatus,Artiodactyla,Bovidae,Neotragini,Neotragus,moschatus,Neotragini,Sokoke,KCST,Kenya
Suni antelope,Neotragus moschatus,Artiodactyla,Bovidae,Neotragini,Neotragus,moschatus,Neotragini,Sokoke,KCST,Kenya
Suni antelope,Neotragus moschatus,Artiodactyla,Bovidae,Neotragini,Neotragus,moschatus,Neotragini,Sokoke,KCST,Kenya
Suni antelope,Neotragus moschatus,Artiodactyla,Bovidae,Neotragini,Neotragus,moschatus,Neotragini,Boni,KCST,Kenya
Suni antelope,Neotragus moschatus,Artiodactyla,Bovidae,Neotragini,Neotragus,moschatus,Neotragini,Sokoke,KCST,Kenya
Suni antelope,Neotragus moschatus,Artiodactyla,Bovidae,Neotragini,Neotragus ,moschatus ,Neotragini,Sokoke,KCST,Kenya
Suni antelope,Neotragus moschatus,Artiodactyla,Bovidae,Neotragini,Neotragus,moschatus,Neotragini,Sokoke,KCST,Kenya
steenbok,Raphicerus campestris,Artiodactyla,Bovidae,Neotragini,Raphicerus,campestris,Neotragini,Malindi,KCST,Kenya
bushpig,Potamochoerus larvatus,Artiodactyla,Suidae,,Potamochoerus,larvatus,Potamochoerus,Sadani,KCST,Tanzania
bushpig,Potamochoerus larvatus,Artiodactyla,Suidae,,Potamochoerus,larvatus,Potamochoerus,Kasigau,KCST,Kenya
bushpig,Potamochoerus larvatus,Artiodactyla,Suidae,,Potamochoerus,larvatus,Potamochoerus,Boni,KCST,Kenya
bushpig,Potamochoerus larvatus,Artiodactyla,Suidae,,Potamochoerus,larvatus,Potamochoerus,Boni,KCST,Kenya
lesser kudu,Tragelaphus imberbis,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,imberbis,Tragelaphini,Dakacha,KCST,Kenya
lesser kudu,Tragelaphus imberbis,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,imberbis,Tragelaphini,Dakacha,KCST,Kenya
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Sokoke,KCST,Kenya
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Kilifi,KCST,Kenya
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Dakacha,KCST,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus ,buselaphus,Alcelaphini,Kidepo,KDPO,Uganda
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus ,buselaphus,Alcelaphini,Kidepo,KDPO,Uganda
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus ,buselaphus,Alcelaphini,Kidepo,KDPO,Uganda
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Kidepo,KDPO,Uganda
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus ,buselaphus,Alcelaphini,Kidepo,KDPO,Uganda
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Kidepo,KDPO,Uganda
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Kidepo,KDPO,Uganda
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Kidepo,KDPO,Uganda
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Kidepo,KDPO,Uganda
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Kidepo,KDPO,Uganda
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Kidepo,KDPO,Uganda
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Kidepo,KDPO,Uganda
plains zebra,Equus burchellii,Perissodactyla,Equidae,,Equus,burchellii,Equus,Kidepo,KDPO,Uganda
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Kidepo,KDPO,Uganda
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Kidepo,KDPO,Uganda
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Kidepo,KDPO,Uganda
giraffe,Giraffa camelopardalis,Artiodactyla,Giraffidae,,Giraffa,camelopardalis,Giraffa,Kidepo,KDPO,Uganda
warthog,Phacochoerus africanus,Artiodactyla,Suidae,,Phacochoerus,africanus,Phacochoerus,Kidepo,KDPO,Uganda
waterbuck,Kobus ellipsiprymnus,Artiodactyla,Bovidae,Reduncini,Kobus,ellipsiprymnus,Reduncini,Kidepo,KDPO,Uganda
waterbuck,Kobus ellipsiprymnus,Artiodactyla,Bovidae,Reduncini,Kobus,ellipsiprymnus,Reduncini,Kidepo,KDPO,Uganda
waterbuck,Kobus ellipsiprymnus,Artiodactyla,Bovidae,Reduncini,Kobus,ellipsiprymnus,Reduncini,Kidepo,KDPO,Uganda
Bohar reedbuck,Redunca redunca,Artiodactyla,Bovidae,Reduncini,Redunca,redunca,Reduncini,Kidepo,KDPO,Uganda
Bohar reedbuck,Redunca redunca,Artiodactyla,Bovidae,Reduncini,Redunca,redunca,Reduncini,Kidepo,KDPO,Uganda
Bohar reedbuck,Redunca redunca,Artiodactyla,Bovidae,Reduncini,Redunca,redunca,Reduncini,Kidepo,KDPO,Uganda
eland,Taurotragus oryx,Artiodactyla,Bovidae,Tragelaphini,Taurotragus,oryx,Tragelaphini,Kidepo,KDPO,Uganda
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Kidepo,KDPO,Uganda
white bellied duiker,Cephalophus leucogaster,Artiodactyla,Bovidae,Cephalophini,Cephalophus,leucogaster,Cephalophini,Riviere Choloba,KZBG,DR Congo
black-fronted duiker,Cephalophus nigrifrons,Artiodactyla,Bovidae,Cephalophini,Cephalophus,nigrifrons,Cephalophini,Musisi,KZBG,DR Congo
black-fronted duiker,Cephalophus nigrifrons,Artiodactyla,Bovidae,Cephalophini,Cephalophus,nigrifrons,Cephalophini,Shabunda,KZBG,DR Congo
black-fronted duiker,Cephalophus nigrifrons,Artiodactyla,Bovidae,Cephalophini,Cephalophus,nigrifrons,Cephalophini,Kalehe,KZBG,DR Congo
black-fronted duiker,Cephalophus nigrifrons,Artiodactyla,Bovidae,Cephalophini,Cephalophus,nigrifrons,Cephalophini,Tchibati,KZBG,DR Congo
black-fronted duiker,Cephalophus nigrifrons,Artiodactyla,Bovidae,Cephalophini,Cephalophus,nigrifrons,Cephalophini,Musisi,KZBG,DR Congo
black-fronted duiker,Cephalophus nigrifrons,Artiodactyla,Bovidae,Cephalophini,Cephalophus,nigrifrons,Cephalophini,Bwamba,KZBG,DR Congo
black-fronted duiker,Cephalophus nigrifrons,Artiodactyla,Bovidae,Cephalophini,Cephalophus,nigrifrons,Cephalophini,Kahuzi-Biega,KZBG,DR Congo
black-fronted duiker,Cephalophus nigrifrons,Artiodactyla,Bovidae,Cephalophini,Cephalophus,nigrifrons,Cephalophini,Musisi,KZBG,DR Congo
black-fronted duiker,Cephalophus nigrifrons,Artiodactyla,Bovidae,Cephalophini,Cephalophus,nigrifrons,Cephalophini,Kahuzi-Biega,KZBG,DR Congo
duiker,Cephalophus sp.,Artiodactyla,Bovidae,Cephalophini,Cephalophus,sp.,Cephalophini,Tshivanga,KZBG,DR Congo
duiker,Cephalophus sp.,Artiodactyla,Bovidae,Cephalophini,Cephalophus,sp.,Cephalophini,Tshivanga,KZBG,DR Congo
duiker,Cephalophus sp.,Artiodactyla,Bovidae,Cephalophini,Cephalophus,sp.,Cephalophini,Tshivanga,KZBG,DR Congo
duiker,Cephalophus sp.,Artiodactyla,Bovidae,Cephalophini,Cephalophus,sp.,Cephalophini,Tshivanga,KZBG,DR Congo
duiker,Cephalophus sp.,Artiodactyla,Bovidae,Cephalophini,Cephalophus,sp.,Cephalophini,Tshivanga,KZBG,DR Congo
giant forest hog,Hylochoerus meinertzhageni,Artiodactyla,Suidae,,Hylochoerus ,meinertzhageni,Hylochoerus,Kahuzi-Biega,KZBG,DR Congo
giant forest hog,Hylochoerus meinertzhageni,Artiodactyla,Suidae,,Hylochoerus ,meinertzhageni,Hylochoerus,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Bwito,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
forest elephant,Loxodonta cyclotis,Proboscidea,Elephantidae,,Loxodonta,cyclotis,Loxodonta,Tshivanga,KZBG,DR Congo
red river hog,Potamochoerus porcus,Artiodactyla,Suidae,,Potamochoerus,porcus,Potamochoerus,Murhanga,KZBG,DR Congo
red river hog,Potamochoerus porcus,Artiodactyla,Suidae,,Potamochoerus,porcus,Potamochoerus,Tshivanga,KZBG,DR Congo
red river hog,Potamochoerus porcus,Artiodactyla,Suidae,,Potamochoerus,porcus,Potamochoerus,Tshivanga,KZBG,DR Congo
red river hog,Potamochoerus porcus,Artiodactyla,Suidae,,Potamochoerus,porcus,Potamochoerus,Murhanga,KZBG,DR Congo
red river hog,Potamochoerus porcus,Artiodactyla,Suidae,,Potamochoerus,porcus,Potamochoerus,Tshivanga,KZBG,DR Congo
red river hog,Potamochoerus porcus,Artiodactyla,Suidae,,Potamochoerus,porcus,Potamochoerus,Irangi,KZBG,DR Congo
bongo,Tragelaphus euryceros,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,euryceros,Tragelaphini,Kahuzi-Biega,KZBG,DR Congo
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Mwenga,KZBG,DR Congo
bushbuck,Tragelaphus scriptus,Artiodactyla,Bovidae,Tragelaphini,Tragelaphus,scriptus,Tragelaphini,Tchibati,KZBG,DR Congo
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Lewa,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Lewa,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,El Karama,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Lewa,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Soit Ngiro,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,El Karama,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mpala,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,Mogwooni,LAIK,Kenya
impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepycerotini,Aepyceros,melampus,Aepycerotini,El Karama,LAIK,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Mpala,LAIK,Kenya
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Mpala,LAIK,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Mpala,LAIK,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Segera,LAIK,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Mpala,LAIK,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,El Karama,LAIK,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Mpala,LAIK,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Mpala,LAIK,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Mpala,LAIK,Kenya
"hartebeest, Coke's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Mpala,LAIK,Kenya
"hartebeest, Jackson's",Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphini,Alcelaphus,buselaphus,Alcelaphini,Mpala,LAIK,Kenya
gerenuk,Litocranius walleri,Artiodactyla,Bovidae,Antilopini,Litocranius,walleri,Antilopini,Thomlinson,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,El Karama,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Segera,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,El Karama,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Ol Pejeta,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Mpala,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Laikipia,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,El Karama,LAIK,Kenya
Grant's gazelle,Nanger granti,Artiodactyla,Bovidae,Antilopini,Nanger,granti,Antilopini,Laikipia,LAIK,Kenya
klipspringer,Oreotragus oreotragus,Artiodactyla,Bovidae,Antilopini,Oreotragus,oreotragus,Antilopini,Mpala,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Lewa,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Mpala,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Lewa,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Thomlinson,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Mpala,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Lewa,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Laikipia,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,El Karama,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Mpala,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Solio,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Thomlinson,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Thomlinson,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Lewa,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Ol Pejeta,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Mpala,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Ol Pejeta,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Jesel,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Ol Pejeta,LAIK,Kenya
Cape buffalo ,Syncerus caffer,Artiodactyla,Bovidae,Bovini,Syncerus,caffer,Bovini,Soit Ngiro,LAIK,Kenya
white rhino,Ceratotherium simum,Perissodactyla,Rhinocerotidae,,Ceratotherium ,simum,Ceratotherium,Mpala,LAIK,Kenya
white rhino,Ceratotherium simum,Perissodactyla,Rhinocerotidae,,Ceratotherium ,simum,Ceratotherium,Oliogi Ranch,LAIK,Kenya
white rhino,Ceratotherium simum,Perissodactyla,Rhinocerotidae,,Ceratotherium,simum,Ceratotherium,Solio,LAIK,Kenya
white rhino,Ceratotherium simum,Perissodactyla,Rhinocerotidae,,Ceratotherium,simum,Ceratotherium,Solio,LAIK,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Mugie,LAIK,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Mugie,LAIK,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Solio,LAIK,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Solio,LAIK,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Ol Jogi,LAIK,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Solio,LAIK,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Solio,LAIK,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Ol Jogi,LAIK,Kenya
black rhino,Diceros bicornis,Perissodactyla,Rhinocerotidae,,Diceros,bicornis,Diceros,Mugie,LAIK,Kenya
